genre,number_of_titles,avg_ratio_of_postive_reviews
Indie,22868,0.7566885152465089
Action,15265,0.7431146454605699
Casual,12010,0.748828025477707
Adventure,11871,0.7481515892420538
Simulation,8711,0.7063821752265861
Strategy,7975,0.719560949004636
RPG,6962,0.7457049689440994
Free to Play,2620,0.7145542501727713
Sports,1725,0.7177044854881266
Racing,1384,0.7135488721804512
Massively Multiplayer,1277,0.6452748885586924
